French,English
histoire,history
demande,request
genre,kind
laisser,let
mettre,to put
aucun,no
eux,them
ville,city
chaque,each
parlé,speak
heures,hours
vont,will
pendant,while
revoir,meet again
aucune,any
savais,knew
étaient,were
voici,here is
affaire,case
type,type
leurs,their
donné,given
endroit,place
dont,whose
trouve,find
perdu,lost
pouvoir,power
vieux,old
matin,morning
tellement,so much
suite,after
venez,come
devant,in front of
vers,towards
minutes,minutes
chambre,bedroom
mis,placed
droit,law
cause,cause
eau,water
parti,left
arrêter,Stop
compte,account
donne,given
fin,end
croire,believe
chérie,sweetheart
gros,large
plutôt,rather
filles,girls
bureau,office
